id,age,gender,region,income_level,education_level,daily_role,device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,study_mins,physical_activity_days,sleep_hours,sleep_quality,anxiety_score,depression_score,stress_level,happiness_score,focus_score,high_risk_flag,device_type,productivity_score,digital_dependence_score
125,34,Female,Europe,High,Bachelor,Full-time Employee,8.33,141,66,72,64,2.0,7.092821816272663,2.7946518348181573,8.497781741501608,9.0,10.0,0.5,81.0,0,iPhone,71.0,32.0
126,30,Female,Middle East,Lower-Mid,Master,Full-time Employee,3.22,91,146,83,0,6.0,9.204289654363496,3.21152642452941,6.643072968365971,7.0,1.6972133390949593,6.418568102444702,76.0,0,Laptop,87.0,16.9
128,34,Male,Africa,Low,PhD,Full-time Employee,8.96,184,148,382,0,3.0,6.735328147003408,3.1165725242610915,4.0,14.0,1.0,7.4,60.0,0,Android,59.0,39.6
129,24,Female,Africa,Lower-Mid,Bachelor,Part-time/Shift,3.53,81,146,157,44,3.0,7.692149588700397,3.007230168928676,8.163609228489797,3.0,1.0,9.1,58.0,0,Tablet,66.0,16.8
130,15,Male,Africa,Low,High School,Student,4.25,104,253,238,52,3.0,8.193240656130236,2.9536472100563103,4.0,3.0,9.87893391675694,0.5,45.0,0,iPhone,60.0,22.6
131,26,Female,Asia,Low,Bachelor,Full-time Employee,6.44,175,264,72,72,5.0,8.047326277212555,3.0813495043127817,8.518680133568711,9.0,9.879749620488184,2.6,49.0,0,Tablet,49.0,35.4
133,28,Female,Asia,Lower-Mid,Master,Full-time Employee,14.73,297,268,59,203,6.0,4.683555282936956,3.2481313848546973,7.585276535284847,18.0,6.826484239905042,2.2,55.0,0,Tablet,54.0,36.68415185296776
134,27,Female,Asia,Upper-Mid,Bachelor,Unemployed_Looking,4.43,58,255,107,88,7.0,6.693069841634725,3.2491756027838963,5.0892608796758925,0.0,4.529630570327695,9.5,50.0,0,Android,70.0,19.9
135,17,Female,Asia,Lower-Mid,High School,Student,4.85,119,172,194,0,1.0,7.0699317820579175,2.8021132692309294,7.388174547392754,9.0,10.0,6.418568102444702,61.0,0,Laptop,56.0,23.5
136,31,Female,Africa,Low,Master,Part-time/Shift,11.11,192,26,89,28,3.0,6.439752122298731,2.9875497005825697,5.605978465036351,18.0,1.082384825096074,8.2,87.0,0,Tablet,80.0,41.4
140,28,Female,Europe,Lower-Mid,Bachelor,Full-time Employee,7.52,167,76,178,141,4.0,6.586395507988235,2.9692782902192447,6.965038231891272,14.0,1.9585234659669013,9.9,54.0,0,Laptop,53.0,32.6
142,42,Female,South America,Upper-Mid,High School,Full-time Employee,8.91,171,316,114,155,4.0,6.819031245032937,3.034844094999377,6.249366705732546,10.0,9.885432994779228,7.6,37.0,0,iPhone,78.0,42.9
144,30,Female,Middle East,Low,High School,Full-time Employee,7.0,127,132,395,196,3.0,8.222190920984175,3.043153300169951,6.739743427512543,6.0,1.0,8.7,41.0,0,Android,67.0,29.1
145,38,Male,South America,High,Bachelor,Unemployed_Looking,12.8,125,341,25,49,5.0,4.116070872872281,3.1428031690533484,4.0,21.0,4.718718179865708,3.7,51.0,0,iPhone,68.0,36.68415185296776
148,40,Male,Middle East,Low,Bachelor,Caregiver/Home,11.29,221,343,183,207,2.0,7.902005699166284,2.895315411336888,4.0,9.0,5.335233342055508,7.2,30.0,0,iPhone,52.0,54.0
150,35,Female,Africa,Upper-Mid,High School,Part-time/Shift,10.96,217,282,205,80,4.0,5.245644796579784,3.0674669382148325,5.09067330485162,15.0,5.945855629574144,3.6,18.0,0,Android,68.0,50.4
151,22,Male,Africa,Low,High School,Student,10.59,133,433,91,0,5.0,7.080023900992519,3.1045896109557054,4.0,14.0,1.0,8.4,30.0,0,Android,68.0,45.1
152,27,Male,Asia,Upper-Mid,Bachelor,Part-time/Shift,6.15,138,530,104,0,7.0,7.8647208326371905,3.343971401972655,4.0,6.0,1.0,10.0,37.0,0,iPhone,68.0,37.9
153,34,Male,North America,Lower-Mid,Bachelor,Full-time Employee,8.4,148,133,303,61,3.0,7.05970570761238,3.033564592559052,4.0,6.0,4.130655179013881,8.8,41.0,0,Android,58.0,34.9
155,34,Female,Asia,Upper-Mid,Bachelor,Unemployed_Looking,8.41,152,245,57,0,2.0,8.230926055657347,2.968794925382782,5.936793263120707,10.0,1.0,9.7,48.0,0,iPhone,68.0,37.8
156,16,Female,Middle East,Low,High School,Student,6.03,102,252,235,191,7.0,8.872553483519894,3.309814537788592,8.818173076109698,1.0,1.0,8.7,39.0,0,iPhone,58.0,26.7
158,14,Female,Asia,Lower-Mid,High School,Student,4.93,153,323,178,107,1.0,9.35543312518333,2.862602319127444,5.8917010384942525,6.0,1.0,8.1,42.0,0,Android,70.0,29.7
159,29,Male,North America,Low,High School,Unemployed_Looking,3.51,82,138,383,48,4.0,7.300890714789654,3.023576198787679,4.0,4.0,5.030411187390833,7.1,60.0,0,Tablet,53.0,17.5
160,28,Male,Africa,Low,Bachelor,Part-time/Shift,7.14,167,196,126,63,3.0,5.909740713085058,3.019748600450681,4.0,6.0,1.9905267183700948,8.9,65.0,0,Laptop,72.0,34.2
161,17,Female,Asia,Lower-Mid,High School,Student,3.48,67,107,56,86,3.0,9.2509854449639,2.953201601254242,8.75539535249369,4.0,4.121930389350547,9.1,61.0,0,Laptop,55.0,14.2
163,21,Female,Europe,Lower-Mid,Bachelor,Student,7.34,142,125,89,156,0.0,6.961073438947731,2.6824986299955134,8.187051873270667,9.0,10.0,2.9,98.0,0,Laptop,77.0,29.9
166,23,Male,Asia,Low,Bachelor,Student,6.13,151,387,95,174,4.0,7.865600945132392,3.132428824497376,4.0,9.0,1.0,9.4,49.0,0,Tablet,69.0,34.9
167,15,Female,Africa,Low,High School,Student,6.76,164,331,124,90,6.0,6.3305997525454485,3.271158478203392,8.064911338488553,4.0,1.7527813466396194,8.9,47.0,0,Android,73.0,35.2
169,22,Male,Europe,High,Bachelor,Student,12.48,224,417,170,90,3.0,4.766006483546857,2.9782793037250053,4.0,16.0,7.001216740897677,6.0,12.0,0,Laptop,63.0,57.0
170,35,Female,Africa,Upper-Mid,Bachelor,Part-time/Shift,11.85,222,204,37,67,3.0,6.011101692046727,2.984933455605882,7.248962951130107,15.0,4.204180628409801,6.3,67.0,0,Tablet,57.0,51.3
172,30,Male,Africa,Upper-Mid,Bachelor,Part-time/Shift,4.65,103,210,14,0,5.0,6.69473895058118,3.1815988374425253,4.0,7.0,1.0,9.7,68.0,0,Android,57.0,23.8
173,33,Male,North America,Upper-Mid,Bachelor,Unemployed_Looking,4.64,113,127,126,27,0.0,7.07549632269612,2.7513781167027145,5.0,7.0,1.0,8.5,72.0,0,iPhone,64.0,22.6
174,29,Female,Asia,Low,Bachelor,Full-time Employee,3.68,68,181,181,154,6.0,7.318518213668383,3.240059586796022,5.849809710677893,7.0,4.869812029126416,8.7,67.0,0,Laptop,68.0,17.4
175,16,Female,Europe,Low,High School,Part-time/Shift,7.06,142,90,385,88,5.0,7.128620922143811,3.216225252507295,5.153544479609523,10.0,2.6971956161905064,9.9,57.0,0,Laptop,68.0,28.2
178,40,Male,Europe,High,PhD,Unemployed_Looking,7.22,125,114,84,255,6.0,6.216191653139592,2.228027851608517,2.0,6.0,1.0,9.9,66.0,0,Laptop,80.0,29.6
179,19,Male,Asia,Lower-Mid,Bachelor,Full-time Employee,6.39,141,358,284,88,6.0,7.170252058453191,3.164922535258474,2.0,8.0,4.589224213874888,8.7,27.0,0,Android,62.0,33.7
181,21,Male,Europe,Lower-Mid,Bachelor,Student,4.8,121,162,131,0,2.0,9.7038497105626,4.916803221667725,4.0,1.0,1.0,9.8,50.0,0,iPhone,71.0,23.2
183,28,Female,South America,High,High School,Full-time Employee,7.85,147,301,157,294,0.0,6.129958162529038,2.797835914437316,9.775462034093106,11.0,9.341996801537755,8.8,41.59859976662777,0,iPhone,54.0,37.4
185,15,Male,Europe,Low,High School,Part-time/Shift,1.87,66,225,269,76,1.0,8.537630998503028,3.868409649559285,5.0,7.0,10.0,6.2,36.0,0,iPhone,63.0,12.9
187,38,Female,Europe,Low,Bachelor,Part-time/Shift,4.52,80,607,90,90,4.0,7.216386164564722,4.023483588960064,0.9521929261318332,3.0,1.9660658279897647,8.7,14.0,0,iPhone,70.0,32.0
189,38,Male,Africa,High,High School,Full-time Employee,5.59,93,259,135,149,2.0,7.379251272757045,2.7881416002822537,2.0,8.0,9.987385469360714,2.3,47.0,0,Laptop,57.0,27.2
193,16,Male,North America,Low,High School,Student,8.02,121,216,83,196,4.0,7.644014100986776,2.110074062357485,6.0,14.0,4.904964872687579,6.3,72.0,0,iPhone,67.0,31.9
194,46,Female,Middle East,Low,Bachelor,Unemployed_Looking,4.85,116,182,13,120,3.0,7.957042851101498,3.9410468212099072,5.8892861659140125,5.0,1.1267329842150715,1.8,61.0,0,Laptop,53.0,26.2
195,27,Female,North America,Lower-Mid,Bachelor,Unemployed_Looking,5.17,95,485,149,88,1.0,7.609198435178178,2.8476263955529464,5.855893567562365,2.0,1.1598958860136597,2.5,9.0,0,Android,67.0,30.8
196,24,Female,Asia,Upper-Mid,Bachelor,Student,5.31,74,73,385,34,1.0,7.923142579313484,1.7763961574433973,4.653806823902567,14.0,1.0,8.8,52.0,0,Laptop,65.29930112427833,18.5
197,39,Male,Europe,High,Master,Caregiver/Home,4.73,92,347,61,40,4.0,9.410587703270249,2.003646268027401,7.0,8.0,6.941787314630066,8.6,48.0,0,iPhone,56.0,27.4
199,30,Female,South America,Lower-Mid,Bachelor,Full-time Employee,4.04,78,504,154,82,5.0,8.77146394880482,3.098561336368652,6.651519738985906,8.0,6.83231480991926,1.0,25.0,0,Laptop,65.29930112427833,27.5
200,31,Female,Africa,Low,Bachelor,Part-time/Shift,3.59,91,222,177,328,5.0,8.813515289892756,3.0546685544827903,3.3945854733214995,4.0,9.80923826957339,4.6,41.59859976662777,0,Laptop,54.0,20.8
201,17,Female,Asia,Low,High School,Student,5.36,148,124,63,183,7.0,5.868555260390817,2.2824632140923176,5.30221217200277,11.0,1.4992806240062402,9.4,70.0,0,Tablet,69.0,36.68415185296776
202,28,Male,Europe,Upper-Mid,Bachelor,Full-time Employee,10.52,241,138,235,32,2.0,5.863611624605928,1.897477501965941,7.0,12.0,2.1583105890244894,9.3,54.0,0,Tablet,71.0,47.0
